"BALANCE","BALANCE_FREQUENCY","PURCHASES","ONEOFF_PURCHASES","INSTALLMENTS_PURCHASES","CASH_ADVANCE","PURCHASES_FREQUENCY","ONEOFF_PURCHASES_FREQUENCY","PURCHASES_INSTALLMENTS_FREQUENCY","CASH_ADVANCE_FREQUENCY","CASH_ADVANCE_TRX","PURCHASES_TRX","CREDIT_LIMIT","PAYMENTS","MINIMUM_PAYMENTS","PRC_FULL_PAYMENT","TENURE"
0.00214779453875906,0.818182,0.0019453677917649,0,0.00424,0,0.166667,0,0.083333,0,0,0.00558659217877095,0.0317195325542571,0.00397863135365527,0.00182564563158477,0,1
0.168169097016747,0.909091,0,0,0,0.13668490864085,0,0,0,0.166666666666667,0.032520325203252,0,0.232053422370618,0.0808933872828281,0.0140344791051438,0.222222,1
0.131026135956446,1,0.0157662475425457,0.0189682602962372,0,0,1,1,0,0,0,0.0335195530726257,0.248747913188648,0.01226436414694,0.00820961806220677,0,1
0.087520790585478,0.636364,0.030567152199744,0.0367751234321813,0,0.00436572315833557,0.083333,0.083333,0,0.0555553333333333,0.00813008130081301,0.00279329608938547,0.248747913188648,0,0.0113104369932349,0,1
0.0429401031990391,1,0.000326267134887194,0.000392529669723083,0,0,0.083333,0.083333,0,0,0,0.00279329608938547,0.0383973288814691,0.0133737169748263,0.00320356347127706,0,1
0.0950383648839028,1,0.0271878403501499,0,0.0592568888888889,0,0.666667,0,0.583333,0,0,0.0223463687150838,0.0584307178631052,0.0276028553830528,0.0315056531907138,0,1
0.0329389403970183,1,0.144597719759778,0.157076389953694,0.0305946666666667,0,1,1,1,0,0,0.17877094972067,0.449081803005008,0.125278558651365,0.00259202474640728,1,1
0.095764295221302,1,0.00889485776486213,0,0.0193866666666667,0,1,0,1,0,0,0.0335195530726257,0.0751252086811352,0.0133881155876353,0.00696298085849036,0,1
0.0532961764575849,1,0.0175672421271231,0.0162284032015701,0.00888888888888889,0,0.333333,0.083333,0.25,0,0,0.0139664804469274,0.232053422370618,0.0135697641789158,0.00408270917196488,0,1
0.00799374402073352,0.545455,0.0261339975044643,0.0314416265448189,0,0,0.166667,0.166667,0,0,0,0.00837988826815642,0.365609348914858,0.022964048246242,0.00131249969611673,0,1
0.0679050322994657,1,0.0187628072595253,0,0.0408942222222222,0,1,0,1,0,0,0.0335195530726257,0.0383973288814691,0.021357833707488,0.0284358983051004,0,1
0.0331245157941024,0.818182,0.0304280808334983,0.0366078076604618,0,0,0.25,0.25,0,0,0,0.0167597765363128,0.0651085141903172,0.0139116323154789,0.00203556687415557,0,1
0.079657490030887,1,0.0656202735872276,0.0613384035082339,0.0319004444444444,0,1,0.25,0.916667,0,0,0.0726256983240224,0.0984974958263773,0.0119922298936488,0.00641555167900338,0.25,1
0.0484002868590166,1,0.0435960184805862,0.0103029225060566,0.0763542222222222,0,0.75,0.166667,0.75,0,0,0.0726256983240224,0.248747913188648,0.0326467470055474,0.00328662937387576,0.083333,1
0.145604818515798,1,0,0,0,0.00735748630542249,0,0,0,0.0555553333333333,0.00813008130081301,0,0.0984974958263773,0.0158837620793116,0.0129563288561731,0,1
0.361611254851889,1,0.0328652963311057,0,0.0716311111111111,0.0488253585875653,0.5,0,0.5,0.111111333333333,0.032520325203252,0.0307262569832402,0.265442404006678,0.0393016754429557,0.0276140895439224,0,1
